FID,FID_1,NOMBRE,TIPO,GEOCODIGO,DIRECCION,UTM_X,UTM_Y,GRAD_X,GRAD_Y
0.0,7.0,HOTEL MENCEY,Infraestructura turística,TUR_011,CALLE DOCTOR JOSE NAVEIRAS 38,377328.593317,3150453.77939,-16.2531253897,28.4749255299
1.0,3.0,HOTEL ADONIS CAPITAL,Infraestructura turística,TUR_007,CALLE CRUZ VERDE 24,377728.427934,3149534.7452,-16.2489442029,28.4666692561
2.0,0.0,HOTEL PRINCIPE PAZ,Infraestructura turística,TUR_004,CALLE VALENTIN SANZ 33,377536.246341,3149758.98226,-16.2509306959,28.4686748509
3.0,14.0,HOTEL TANAUSU,Infraestructura turística,TUR_027,CALLE PADRE ANCHIETA 8,377283.140296,3149235.8435,-16.2534598718,28.4639299781
4.0,2.0,HOTEL OCEANO,Infraestructura turística,TUR_006,CALLE CASTILLO 10,377658.692902,3149579.8594,-16.2496611636,28.4670698487
5.0,1.0,HOTEL ATLANTICO,Infraestructura turística,TUR_005,CALLE CASTILLO 12,377647.052386,3149581.51961,-16.2497802193,28.4670837389
6.0,5.0,HOTEL PELINOR,Infraestructura turística,TUR_009,CALLE BETHENCOURT ALFONSO 8,377764.900246,3149630.513,-16.2485818893,28.4675369352
7.0,4.0,HOTELADONIS PLAZA,Infraestructura turística,TUR_008,"PLAZA DE CANDELARIA, 9",377747.395828,3149595.03428,-16.2487568902,28.4672151152
8.0,15.0,HOTEL HORIZONTE,Infraestructura turística,TUR_025,CALLE SANTA ROSA DE LIMA 11,377656.236428,3149905.52032,-16.2497208351,28.4700085526
9.0,6.0,HOTELAPARTAMENTO COLON RAMBLA,Infraestructura turística,TUR_010,CALLE VIERA Y CLAVIJO 49,376932.731403,3150053.5731,-16.2571256782,28.4712765536
10.0,11.0,HOTEL ESCUELA SANTA CRUZ,Infraestructura turística,TUR_017,AVENIDA SAN SEBASTIAN 152,376650.422653,3149257.34816,-16.2599236265,28.4640643477
11.0,12.0,HOTEL SILKEN ATLANTIDA,Infraestructura turística,TUR_018,"CALLE AUREA DIAZ-FLORES HERNANDEZ, 2",376892.051602,3148644.59817,-16.2573906007,28.4585574167
12.0,13.0,HOTEL NH TENERIFE,Infraestructura turística,TUR_021,"CALLE CANDELARIA, 24",377780.643047,3149467.34105,-16.2484038049,28.4660658609
13.0,8.0,HOTEL BARCELO CONTEMPORANEO,Infraestructura turística,TUR_013,"RAMBLA DE SANTA CRUZ, 116",377357.648132,3150349.21682,-16.2528175094,28.4739846389
14.0,9.0,HOTEL TABURIENTE,Infraestructura turística,TUR_014,CALLE DOCTOR JOSE NAVEIRAS 24A,377342.92247,3150279.54576,-16.2529604858,28.4733545063
15.0,10.0,HOTEL NAUTICO,Infraestructura turística,TUR_015,AVENIDA PROFESOR PERAZA DE AYALA 13,378013.827986,3150951.46163,-16.2461795959,28.4794811888
