lon,lat,parada,denominacion
-16.303946,28.418338,1100,Acoran Parada N 1
-16.306626,28.417573,1101,Acoran Parada N 2
-16.308758,28.416302,1102,Urb Acoran
-16.310959,28.415496,1103,Colegio Adonay
-16.318687,28.408011,1104,Puente Boca Cangrejo
-16.317397,28.406414,1105,Bajada Boca Cangrejo (Primeras Casas)
-16.316029,28.406177,1106,Entrada Boca Cangrejo
-16.316583,28.405232,1107,Boca Cangrejo (Playa La Nea)
-16.315794,28.406387,1108,Entrada Boca Cangrejo (Vuelta)
-16.31732,28.40644,1109,Bajada Boca Cangrejo (1s Casas)
-16.318622,28.407973,1110,Puente Boca Cangrejo ( Vuelta)
-16.310844,28.415463,1111,Colegio Adonay (Vuelta)
-16.308574,28.416205,1112,Urb Acoran C/ Cataixa (Vuelta)
-16.306401,28.417862,1113,Acoran Parada N 2 (Vuelta)
-16.30367,28.418383,1114,Acoran Parada N 1 (Vuelta)
-16.321972,28.406795,1115,Emp Radazul (Autdel Sur)
-16.343514,28.395406,1117,Rotonda Bcohondo (Autdel Sur)
-16.343959,28.396607,1118,Subida Autp Bco Hondo C/ El Charco
-16.348202,28.397705,1119,Subida Autp Bco Hondo C/ Las Adelfas
-16.350529,28.396156,1120,Cruce De Bco Hondo (Tf-28) (Bis)
-16.350573,28.395947,1121,Cruce De Bco Hondo (Tf-28)
-16.322807,28.406,1125,Emp Radazul (Autdel Sur) (Bis)
-16.322514,28.415146,1126,San Isidro (Cg Sur) (Bis)
-16.3225,28.415512,1127,San Isidro (Cg Sur)
-16.32857,28.409944,1128,Tabaiba Alta (Cgeneral Del Sur)
-16.335565,28.408393,1129,Edificio Angelica (Tabaiba Alta)
-16.33839,28.407595,1130,Los Juncos (Tabaiba Alta)
-16.350556,28.401881,1131,Casa Esteban (Tabaiba Alta)
-16.351443,28.399693,1132,Empbcohondo(subida)
-16.353772,28.398394,1133,El Taconillo (Bco Hondo)(subida)
-16.354883,28.397411,1134,Los Colegios (Bcohondo)(subida)
-16.356609,28.398164,1135,Cruce C El Cementeri (Bco Hondo)
-16.356472,28.395598,1136,Casa Ramon (Bcohondo)(subida)
-16.359921,28.395352,1137,El Cementerio (Bco Hondo)(subida)
-16.36078,28.396644,1138,Terrenito (Bco Hondo)(subida)
-16.360622,28.399106,1139,El Calvario (Bcohondo)(p Final)
-16.360865,28.396449,1140,Terrenito (Bco Hondo)(bajada)
-16.359934,28.395217,1141,El Cementerio (Bco Hondo)(bajada)
-16.356478,28.395722,1142,Casa Ramon (Bcohondo)(bajada)
-16.356583,28.398042,1143,Cruce C El Cementerio (Bco Hondo)(bajada)
-16.354807,28.397445,1144,Los Colegios (Bcohondo)(bajada)
-16.353653,28.398486,1145,El Taconillo (Bco Hondo)(bajada)
-16.351563,28.398819,1146,Empbcohondo (Bajada)
-16.350578,28.401736,1147,Casa Esteban (Tabaiba Alta) (Bis)
-16.338421,28.407601,1148,Los Juncos (Tabaiba Alta) (Bis)
-16.335512,28.408371,1149,Frente Edificio Angelica (Tabaiba Alta)
-16.328459,28.409937,1150,Tabaiba Media  (Tfcg 822 Frente Farmacia)
-16.304165,28.425272,1151,Emp Sta Maria Del Mar
-16.32393,28.404874,1152,Radazul Bajo (Plazoleta Las Acacias)
-16.324551,28.402793,1153,Radazul Bajo (C/el Cano N 104 )
-16.320577,28.403029,1154,Residencial Nueva Esperanza
-16.319731,28.402073,1155,Radazul Bajo (Final)
-16.319977,28.403373,1156,Residencial Nueva Esperanza Subida
-16.324415,28.402994,1157,Radazul Bajo (C/el Cano N 104 ) Subida
-16.325779,28.403827,1158,Acacias 72 ( Esq Oquendo )
-16.322997,28.404967,1159,Radazul Bajo (Plazoleta Las Acacias) (Bis)
-16.324912,28.406733,1160,Radazul Alto (Cc Paraiso)
-16.325611,28.408905,1161,Radazul Alto Frente N 6
-16.327648,28.409813,1162,Radazul Alto (Cruce Tf 28)
-16.329072,28.411193,1163,Llano Blanco
-16.331348,28.412558,1164,Cruce C/llano Blanco - Tabaiba Alta
-16.335418,28.411022,1165,Colegio Aleman
-16.335569,28.409762,1166,Tabaiba Alta Frente N15
-16.332203,28.410267,1167,Tabaiba Alta Frente N34
-16.331005,28.40939,1168,Tabaiba Alta Frente N 10
-16.330281,28.407977,1169,Tabaiba Media
-16.330464,28.406811,1170,Tabaiba Media Bar La Vista
-16.330254,28.406814,1171,Tabaiba Media ( Bar La Vista ) (Bis)
-16.330042,28.408072,1172,Tabaiba Media (Bis)
-16.327353,28.409629,1173,Radazul Alto (Cruce Tf-28) (Bis)
-16.325686,28.408702,1174,Radazul Alto N 6
-16.324808,28.406628,1175,Radazul Alto (Cc Paraiso)(bis)
-16.332581,28.40692,1176,Tabaiba Media   N52
-16.33238,28.407003,1177,Tabaiba Media  Fente N52
-16.332681,28.404865,1178,Tabaiba Baja (Edificio Oceania)
-16.33168,28.403488,1179,Tabaiba Baja
-16.333103,28.404236,1180,Tabaiba Baja (Frente Edificio Oceania)
-16.328516,28.490194,1183,Ctra Gnal San Lázaro
-16.333348,28.490112,1184,San Lázaro
-16.340041,28.489781,1185,Ctra Gral San Lázaro N122
-16.348276,28.490016,1186,Cmo El Pulpito N1
-16.352702,28.489991,1187,Cno Portezuelo
-16.355325,28.490663,1188,Ctra Portezuelo N331
-16.361971,28.491536,1189,El Roque
-16.366527,28.492441,1190,Isla Del Hierro N1
-16.371086,28.492038,1191,Cno El Candil N1
-16.375264,28.491254,1192,El Molino (Guamasa)
-16.380211,28.489487,1193,Churrasqueria El Rodeo (Guamasa)
-16.386448,28.487652,1194,El Trazo
-16.389691,28.48673,1195,La Piconera (Tacoronte)
-16.392533,28.485974,1196,C/el Calvario N 256 (Los Naranjeros)
-16.395693,28.486511,1197,C/calvario (Plaza Lomo Colorado)
-16.402637,28.485564,1199,C/calvario N 175 (Cruce Viviendas)
-16.405923,28.483331,1200,C/calvario N 135 A
-16.410259,28.484719,1201,C/calvario N 93 (Cruce Ctra Tejina)
-16.411447,28.484564,1202,C/ Calvario N 79
-16.413197,28.484397,1203,El Calvario
-16.415866,28.483008,1204,Cementerio (Tacoronte)
-16.417999,28.483158,1205,Santa Catalina (Tacoronte)
-16.422986,28.483582,1206,C/calvario N 40 (Cruce Bda Las Toscas)
-16.426528,28.48311,1207,C/calvario N 12 (Cruce B Las Toscas)
-16.428939,28.481515,1208,C/calvario N 59 (Iglesia)
-16.430831,28.480107,1209,C/el Calvario N 14 (Cruce El Sauzal)
-16.434472,28.479936,1210,El Sauzal (Centro De Salud)
-16.43681,28.479407,1211,El Sauzal (Sala De Exposiciones)
-16.439581,28.472414,1212,Cruce Los Angeles
-16.440808,28.471624,1213,El Sauzal (Urb Primavera)
-16.442072,28.469567,1214,Urb Los Angeles Ns  (Frente Bar)
-16.443412,28.467938,1215,Los Angeles (Sauzal)
-16.441847,28.469696,1216,Urb Los Angeles N 208
-16.439581,28.472334,1217,Cruce Los Angeles (Vuelta)
-16.436694,28.479366,1218,El Sauzal (Ayuntamiento)
-16.434417,28.479897,1219,El Sauzal
-16.431287,28.479972,1220,C/el Calvario Frente Al N 8 (Cruce El Sauzal)
-16.428885,28.481565,1221,C/calvario N 57 ( Frente Iglesia)
-16.426799,28.4831,1222,C/calvario N 5 (Cruce B Las Toscas)
-16.422962,28.483477,1223,C/calvario N 41-c (Cruce Bda Las Toscas)
-16.418034,28.483039,1224,Santa Catalina  Iglesia (Tacoronte)
-16.415773,28.482991,1225,Frente Cementerio (Tacoronte)
-16.41329,28.484103,1226,El Calvario (Bis)
-16.411347,28.484494,1227,C/ Calvario N 46 (Bis)
-16.41023,28.484651,1228,C/calvario Frente N 93 (Cruce Ctra Tejina)
-16.40589,28.483468,1229,C/calvario N 84
-16.402339,28.485514,1230,C/calvario N 124-a (Cruce Viviendas)
-16.398989,28.485922,1231,C/calvario Frente N 211(el Puente)
-16.396432,28.486312,1232,C/calvario N 198 (Plaza Lomo Colorado)
-16.39251,28.48595,1233,C/el Calvario Frente Al N 256 (Los Naranjeros)
-16.389598,28.486633,1234,Farmacia Los Naranjeros
-16.386184,28.487634,1235,El Trazo (Instituto)
-16.380087,28.489543,1236,Frente Churraqueria El Rodeo (Guamasa)
-16.375427,28.491194,1237,El Molino Antes Cruce Boqueron (Guamasa)
-16.371164,28.491861,1238,Frente Casa Fermin (Guamasa)
-16.366677,28.492355,1239,Camino Santa Rosa (Frente Autos Guamasa)
-16.362035,28.491406,1240,Cruz Chica
